query_id	subject_id	percent_identity	alignment_length	evalue	bit_score
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X1 [Musa acuminata AAA Group]	84.52	911	0.0	1607.81
g18018.t1	unnamed protein product [Musa acuminata subsp. malaccensis]	84.41	911	0.0	1605.5
g18018.t1	unnamed protein product [Musa acuminata subsp. burmannicoides]	84.30	911	0.0	1603.19
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X1 [Musa acuminata AAA Group]	84.41	911	0.0	1602.8
g18018.t1	unnamed protein product [Musa banksii]	84.19	911	0.0	1602.42
g18018.t1	unnamed protein product [Musa hybrid cultivar]	84.19	911	0.0	1602.03
g18018.t1	unnamed protein product [Musa hybrid cultivar]	83.97	911	0.0	1601.26
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like [Musa acuminata AAA Group] >emb|CAL9074928.1| unnamed protein product [Musa acuminata var. zebrina]	84.19	911	0.0	1599.33
g18018.t1	unnamed protein product [Musa textilis]	83.97	911	0.0	1599.33
g18018.t1	Phosphoinositide phosphatase family protein [Musa troglodytarum]	83.86	911	0.0	1597.02
g18018.t1	hypothetical protein OPV22_012079 [Ensete ventricosum]	83.53	911	0.0	1593.56
g18018.t1	phosphoinositide phosphatase SAC1 [Canna indica]	85.55	886	0.0	1561.58
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X1 [Zingiber officinale] >gb|KAG6481779.1| hypothetical protein ZIOFF_058400 [Zingiber officinale]	83.33	888	0.0	1545.41
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X1 [Zingiber officinale]	83.47	883	0.0	1539.24
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X2 [Zingiber officinale]	82.88	888	0.0	1532.31
g18018.t1	hypothetical protein ZIOFF_054189 [Zingiber officinale]	82.35	895	0.0	1530.77
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X2 [Zingiber officinale]	83.01	883	0.0	1524.99
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X2 [Elaeis guineensis]	79.31	904	0.0	1516.13
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X1 [Elaeis guineensis]	78.62	912	0.0	1506.5
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 [Phoenix dactylifera]	78.98	904	0.0	1499.95
g18018.t1	phosphoinositide phosphatase SAC1 [Cocos nucifera]	79.48	887	0.0	1483.0
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X2 [Musa acuminata AAA Group]	84.99	833	0.0	1474.14
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X2 [Musa acuminata AAA Group]	84.87	833	0.0	1470.68
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 [Typha latifolia]	76.77	891	0.0	1415.59
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 [Typha angustifolia]	76.66	891	0.0	1414.44
g18018.t1	phosphoinositide phosphatase SAC1 [Ananas comosus]	73.71	913	0.0	1406.73
g18018.t1	hypothetical protein J5N97_020077 [Dioscorea zingiberensis]	75.54	883	0.0	1392.48
g18018.t1	Phosphoinositide phosphatase SAC1 [Ananas comosus]	71.44	942	0.0	1391.33
g18018.t1	Phosphoinositide phosphatase SAC1 [Apostasia shenzhenica]	74.86	907	0.0	1387.86
g18018.t1	phosphoinositide phosphatase SAC1 [Asparagus officinalis] >gb|ONK72924.1| uncharacterized protein A4U43_C04F24970 [Asparagus officinalis]	75.17	894	0.0	1385.93
g18018.t1	hypothetical protein M5K25_002023 [Dendrobium thyrsiflorum]	74.28	906	0.0	1371.3
g18018.t1	phosphoinositide phosphatase SAC1 [Dendrobium catenatum] >gb|PKU83115.1| Phosphoinositide phosphatase SAC1 [Dendrobium catenatum]	76.03	876	0.0	1365.13
g18018.t1	hypothetical protein HPP92_001194 [Vanilla planifolia]	74.29	883	0.0	1355.89
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X3 [Zingiber officinale]	83.09	769	0.0	1334.32
g18018.t1	phosphoinositide phosphatase SAC1 [Phalaenopsis equestris]	72.80	897	0.0	1332.01
g18018.t1	hypothetical protein HPP92_001021 [Vanilla planifolia]	73.39	883	0.0	1329.69
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X3 [Zingiber officinale]	82.83	769	0.0	1327.77
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like [Miscanthus floridulus]	71.75	885	0.0	1326.61
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X1 [Triticum dicoccoides] >ref|XP_044422822.1| phosphatidylinositol-3-phosphatase SAC1 isoform X1 [Triticum aestivum] >gb|KAF7096316.1| hypothetical protein CFC21_098280 [Triticum aestivum] >gb|XBI38825.1| hypothetical protein VPH35_123741 [Triticum aestivum]	70.40	892	0.0	1324.69
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X1 [Aegilops tauschii subsp. strangulata] >ref|XP_044437521.1| phosphatidylinositol-3-phosphatase SAC1 isoform X1 [Triticum aestivum] >gb|XBI10700.1| hypothetical protein VPH35_137916 [Triticum aestivum]	70.40	892	0.0	1324.69
g18018.t1	hypothetical protein HU200_052294 [Digitaria exilis]	71.38	884	0.0	1324.69
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X1 [Triticum aestivum] >gb|KAF7102166.1| hypothetical protein CFC21_103349 [Triticum aestivum] >gb|XBI00968.1| hypothetical protein VPH35_129862 [Triticum aestivum]	70.29	892	0.0	1324.3
g18018.t1	hypothetical protein HU200_028381 [Digitaria exilis]	71.61	884	0.0	1324.3
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like [Miscanthus floridulus]	71.53	885	0.0	1323.15
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X1 [Triticum dicoccoides]	70.29	892	0.0	1322.38
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X1 [Triticum urartu]	70.40	892	0.0	1322.38
g18018.t1	unnamed protein product [Miscanthus lutarioriparius]	71.64	885	0.0	1321.99
g18018.t1	hypothetical protein GQ55_6G008000 [Panicum hallii var. hallii]	71.53	885	0.0	1321.61
g18018.t1	hypothetical protein E2562_005826 [Oryza meyeriana var. granulata]	70.88	879	0.0	1320.06
g18018.t1	hypothetical protein E2562_005826 [Oryza meyeriana var. granulata]	70.51	885	0.0	1318.52
g18018.t1	phosphatidylinositol-3-phosphatase SAC1-like isoform X1 [Phragmites australis]	70.44	893	0.0	1318.52
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X2 [Oryza glaberrima]	70.35	887	0.0	1318.14
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 [Hordeum vulgare subsp. vulgare] >gb|KAE8815746.1| Polyphosphoinositide phosphatase [Hordeum vulgare] >gb|KAI4972400.1| hypothetical protein ZWY2020_003325 [Hordeum vulgare]	70.40	892	0.0	1317.75
g18018.t1	phosphoinositide phosphatase SAC1 isoform X2 [Panicum hallii] >gb|PAN33269.1| hypothetical protein PAHAL_6G007100 [Panicum hallii]	71.41	885	0.0	1317.75
g18018.t1	hypothetical protein OsI_27545 [Oryza sativa Indica Group]	70.10	893	0.0	1317.75
g18018.t1	predicted protein [Hordeum vulgare subsp. vulgare]	70.40	892	0.0	1316.98
g18018.t1	unnamed protein product [Triticum turgidum subsp. durum]	70.18	892	0.0	1316.98
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X2 [Oryza sativa Japonica Group] >gb|KAB8107110.1| hypothetical protein EE612_041682 [Oryza sativa] >gb|KAF2917761.1| hypothetical protein DAI22_08g006700 [Oryza sativa Japonica Group] >dbj|BAD09523.1| putative sac domain-containing inositol phosphatase 3 [Oryza sativa Japonica Group] >dbj|BAF22722.1| Os08g0109100 [Oryza sativa Japonica Group] >dbj|BAH00707.1| unnamed protein product [Oryza sativa Japonica Group]	70.35	887	0.0	1316.6
g18018.t1	phosphoinositide phosphatase SAC1 [Sorghum bicolor] >gb|EES13222.1| hypothetical protein SORBI_3007G008900 [Sorghum bicolor]	71.53	885	0.0	1316.6
g18018.t1	phosphatidylinositol-3-phosphatase SAC1 isoform X1 [Oryza glaberrima]	69.99	893	0.0	1316.21
g18018.t1	unnamed protein product [Miscanthus lutarioriparius]	71.07	885	0.0	1316.21
g18018.t1	unnamed protein product [Alopecurus aequalis]	70.32	886	0.0	1315.44
